hotel_name,property_type,city,address,facilities,rating,min_price,max_price,latitude,longitude
MaxoneHotels at Dharmahusada Surabaya,Hotel,"Gubeng, Surabaya","Jl. Dharmahusada No.189, Mojo, Gubeng, Kota SBY, Jawa Timur 60285, Indonesia","['WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Spa', 'Lift', 'AC', 'Fasilitas Rapat', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Spa', 'Lift', 'AC', 'Fasilitas Rapat', 'Fasilitas Ramah Difabel', 'Ruang Merokok', 'AC', 'Lounge', 'Fasilitas rapat', 'WiFi Publik', 'Lift', 'Restoran', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam', 'Layanan Laundry/Dry Cleaning']",4.2,1175880,358500,-7.2674349,112.7711245
D Carol Hotel Surabaya,Hotel,"Bubutan, Surabaya","Jl. Gundih No. 8, Gundih, Kec. Bubutan, Kota Surabaya, Jawa Timur, Indonesia","['InDOnesia CARE', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Fasilitas Rapat', 'InDOnesia CARE', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Fasilitas Rapat', 'Penyimpanan Barang', 'AC', 'Lounge', 'Fasilitas rapat', 'WiFi Publik', 'Lift', 'Restoran', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Layanan Concierge', 'Resepsionis 24 Jam']",4.2,586075,197000,-7.247228,112.72946
Choice City Hotel,Hotel,"Bubutan, Surabaya","Bubutan, Surabaya City, East Java 60174, Indonesia","['InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Spa', 'Lift', 'InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Spa', 'Lift', 'AC', 'Fasilitas Rapat', 'Fasilitas Ramah Difabel', 'Penyimpanan Barang', 'Arena Game Center', 'Ruang game', 'Ruang Merokok', 'AC', 'Lounge', 'Fasilitas rapat', 'WiFi Publik', 'Lift', 'Restoran', 'ATM/Bank', 'Ruang merokok khusus', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan']",4.4,375000,270000,-7.25599,112.733686
G Suites Hotel By AMITHYA,Hotel,"Gubeng, Surabaya","Jl. Raya Gubeng No.43, Gubeng, Kec. Gubeng, Kota SBY, Jawa Timur","['InDOnesia CARE', 'tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'InDOnesia CARE', 'tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Pusat Kebugaran', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Hasil PCR Diperlukan', 'Bukti Vaksin Covid-19', 'Penyimpanan Barang', 'Fasilitas Gym', 'Fitness', 'Klub Malam', 'Ruang Merokok', 'AC', 'Lounge', 'Fasilitas rapat', 'WiFi Publik', 'Lift', 'Restoran', 'Ruang merokok khusus', 'Kolam Renang', 'Parkir (Gratis)', 'Penitipan Bagasi', 'Resepsionis 24 Jam', 'Layanan Laundry/Dry Cleaning', 'Brankas Hotel', 'Layanan Concierge', 'Penukaran Mata Uang']",3.9,1886000,287000,-7.273623,112.747475
Royal Regantris Cendana formerly Royal Singosari Cendana,Hotel,"Tegalsari, Surabaya","Jl. Kombes Pol. Moh. Duryat No.6, Tegalsari, Kec. Tegalsari, Kota SBY, Jawa Timur","['InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Spa', 'Lift', 'InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Spa', 'Lift', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Bukti Vaksin Covid-19', 'Fasilitas Ramah Difabel', 'Penyimpanan Barang', 'Karaoke', 'Hewan Peliharaan Tidak Diperbolehkan', 'Spa', 'tiket CLEAN', 'InDOnesia CARE', 'Pijat']",4.2,1200000,390000,-7.268379,112.739621
Livinn Taman Melati Surabaya,Hotel,"Mulyorejo, Surabaya","Jl. Mulyorejo Utara No.201, RT.006/RW.001, Mulyorejo, Kec. Mulyorejo, Mulyorejo, Surabaya, Jawa Timur, Indonesia, 60115","['Kolam Renang', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Kolam Renang', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'Lift', 'AC', 'AC', 'Lift', 'Kolam Renang', 'Parkir (Gratis)', 'Resepsionis 24 Jam', 'Shower']",4.1,307200,218249,-7.261569,112.78547
Hotel Great Diponegoro Surabaya,Hotel,"Wonokromo, Surabaya","Jalan Diponegoro No.215, Surabaya, Jawa Timur 60241","['InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Hasil PCR Diperlukan', 'Bukti Vaksin Covid-19', 'Fasilitas Ramah Difabel', 'Penyimpanan Barang', 'Karaoke', 'Hewan Peliharaan Tidak Diperbolehkan', 'InDOnesia CARE', 'Wajib PCR untuk menginap >= 3 malam', 'tiket CLEAN']",4.2,620000,325000,-7.279568,112.730086
Arimbi Stay,Hotel,"Gayungan, Surabaya",Jl. Cipta Menanggal Utara 66 Surabaya,"['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Hasil PCR Diperlukan', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Hasil PCR Diperlukan', 'Teras', 'AC', 'ATM/Bank', 'WiFi Publik', 'Lift', 'Restoran', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Layanan Laundry/Dry Cleaning', 'Staf Multibahasa', 'Resepsionis 24 Jam']",4.2,492000,276000,-7.341528,112.721507
Cleo Hotel Basuki Rahmat Surabaya,Hotel,"Genteng, Surabaya","Jl. Jenderal Basuki Rachmat No.11, Embong Kaliasin, Kec. Genteng, Kota SBY, Jawa Timur","['InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Bukti Vaksin Covid-19', 'InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'AC', 'Bukti Vaksin Covid-19', 'Penyimpanan Barang', 'AC', 'WiFi Publik', 'Restoran', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Layanan Laundry/Dry Cleaning', 'Brankas Hotel', 'Penitipan Bagasi', 'Staf Multibahasa', 'Layanan Concierge', 'Resepsionis 24 Jam']",3.9,265500,261000,-7.263531,112.741318
ASTON Inn Jemursari,Hotel,"Wonocolo, Surabaya","Jl. Sidosermo II No. 70, Surabaya","['tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Antar Jemput Bandara', 'Fasilitas Rapat', 'Penyimpanan Barang', 'Ruang Merokok', 'AC', 'Fasilitas rapat', 'WiFi Publik', 'Lift', 'Restoran', 'Ruang merokok khusus', 'Kolam Renang', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam', 'Layanan Laundry/Dry Cleaning', 'Staf Multibahasa']",4.4,1375000,336720,-7.311514,112.749716
